정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
10780,495000000408,청년농산업창업 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
10781,483000000516,특용작물생산시설 현대화 지원,오프라인,"현금,현물",전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10782,480000000455,산림경영계획 작성 지원,오프라인,"현금,현물",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업",0.0,0.0
10783,480000000423,농어촌진흥기금 융자 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업/제조업",0.0,0.0
10784,480000000424,농업경영컨설팅 지원,오프라인,"현금,현물",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10786,495000000331,식품소재 및 반가공산업 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/제조업/전문, 과학 및 기술 서비스업",0.0,0.0
10787,480000000579,친환경농업 직불금 지급,복합,"현금,현물",전라남도,목포시,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10788,501000000296,수산생물 예방백신 및 면역증강제 지원,오프라인,"현금,현물",전라남도,신안군,무관,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10789,501000000380,지역산업 맞춤형 일자리 창출 지원,복합,정보제공,전라남도,신안군,무관,"사업시설 관리, 사업 지원 및 임대 서비스업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10791,482000000410,들녘경영체 육성 지원,온라인,"현금,현물",전라남도,순천시,무관,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10792,501000000236,녹색축산 육성기금 융자 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10793,501000000272,밭 농업 직불금 지원,오프라인,"현금,현물",전라남도,신안군,무관,"농업, 임업 및 어업",0.0,0.0
10794,501000000238,농기계 임대 서비스 제공,오프라인,"현금,현물",전라남도,신안군,무관,"농업, 임업 및 어업",0.0,0.0
10795,501000000383,천일염 생산시설 자동화 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/수도, 하수 및 폐기물 처리, 원료 재생업",0.0,0.0
10796,501000000384,천일염 장기저장시설 설치 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10797,501000000385,천일염 포장재 지원,오프라인,"현금,현물",전라남도,신안군,무관,"농업, 임업 및 어업",0.0,0.0
10798,501000000304,식품소재 및 반가공산업 육성 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/제조업/전문, 과학 및 기술 서비스업",0.0,0.0
10799,501000000273,밭작물 공동경영체 육성 지원,오프라인,"현금,현물/교육,용역",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/제조업/건설업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10800,501000000349,자활 근로 지원,오프라인,"현금,현물/정보제공",전라남도,신안군,무관,"전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
10801,501000000216,고효율 어선 유류절감 장비 지원,복합,"현금,현물/민원,상담,법률",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/전기, 가스, 증기 및 공기 조절 공급업",0.0,0.0
10802,501000000217,곤충사육시설 및 기자재 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10804,501000000278,사회적기업 일자리 창출 지원,온라인,"현금,현물",전라남도,신안군,중소기업/소상공인,무관,0.0,0.0
10805,501000000394,축사시설 현대화 지원,오프라인,"현금,현물",전라남도,신안군,무관,"농업, 임업 및 어업",0.0,0.0
10806,501000000395,축산물 HACCP 컨설팅 자금 지원,오프라인,기타,전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업",0.0,0.0
10807,501000000396,축산물 직거래 활성화 지원,오프라인,정보제공,전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업",0.0,0.0
10808,501000000402,친환경 농업인 유기농업 자재 등 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
10809,489000000431,우량송아지생산비율시설 지원,오프라인,"현금,현물",전라남도,보성군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10810,489000000433,유기질비료 지원,오프라인,"현금,현물",전라남도,보성군,무관,"농업, 임업 및 어업",0.0,0.0
10811,501000000405,풍수해보험료 지원,오프라인,"현금,현물",전라남도,신안군,무관,"농업, 임업 및 어업",0.0,0.0
10813,489000000389,산림복합경영단지 조성 지원,오프라인,"현금,현물",전라남도,보성군,무관,"농업, 임업 및 어업",0.0,0.0
10814,501000000283,산림작물 생산 기반 조성 지원,오프라인,"현금,현물",전라남도,신안군,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업/전기, 가스, 증기 및 공기 조절 공급업/도매 및 소매업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업/교육 서비스업",0.0,0.0
